# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	1110
#@/user_id	ce5e4c4c-00c1-4d03-a928-7b726f83f7ce
an 	按	c=2 d=0.666319 t=1109
zheng zhi 	政治	c=1 d=0.079659 t=1109
zhi 	直	c=1 d=0.143704 t=1109
zhi chi 	支持	c=2 d=0.0613106 t=1109
zhi chi zhe 	支持者	c=1 d=0.156453 t=1109
zhi chu 	支出	c=1 d=0.701173 t=1109
zhi du 	制度	c=2 d=0.677919 t=1109
zhi hou 	之后	c=2 d=0.655474 t=1109
zhi jie 	直接	c=1 d=0.235746 t=1109
zhi min tong zhi 	殖民统治	c=1 d=0.310367 t=1109
zhi min zhe 	殖民者	c=1 d=0.579842 t=1109
zhi qian 	之前	c=1 d=0.108609 t=1109
zhi xuan 	直选	c=2 d=0.0979568 t=1109
zhi you 	只有	c=1 d=0.394554 t=1109
zhong 	中	c=7 d=1.11617 t=1109
zhong dian 	重点	c=2 d=1.99501 t=1050
zhong guo 	中国	c=8 d=2.23256 t=1109
zhong qu 	中去	c=1 d=0.0072265 t=1109
zhong shen fa yuan 	终审法院	c=1 d=0.142274 t=1109
zhong wen 	中文	c=3 d=0.986692 t=1109
zhong yao 	重要	c=1 d=0.133989 t=1109
zhong ying wen 	中英文	c=2 d=0.434896 t=1109
zhou 	周	c=1 d=0.0142642 t=1109
zhou nian 	周年	c=1 d=0.726149 t=1109
zhu quan 	主权	c=2 d=0.976543 t=1109
zhu shi diao 	注释掉	c=1 d=0.0116203 t=1109
zhu yao 	主要	c=1 d=0.0234005 t=1109
zhu yi 	注意	c=2 d=0.599374 t=1109
zhuan hua 	转化	c=2 d=0.22798 t=1109
zhuang tai 	状态	c=1 d=0.035437 t=1109
zhuo er 	卓尔	c=0 d=0.00575558 t=1109
zi 	字	c=2 d=0.224927 t=1109
zi ding yi 	自定义	c=14 d=0.536517 t=1109
zi ding yi de 	自定义的	c=1 d=0.0267827 t=1109
zi fu chuan 	字符串	c=4 d=0.118491 t=1109
zi hao 	字号	c=1 d=0.0116786 t=1109
zi ji 	自己	c=2 d=0.880838 t=1109
zi shu 	字数	c=1 d=0.00895987 t=1109
zi you dang 	自由党	c=1 d=0.0934807 t=1109
zi yuan 	资源	c=1 d=0.163654 t=1109
zi zhi 	自治	c=2 d=1.42752 t=1109
zi zhi quan 	自治权	c=1 d=0.873716 t=1109
zi zhu 	资助	c=0 d=0.0131336 t=1109
zi zhu you er jiao yu 	资助幼儿教育	c=1 d=0.131994 t=1109
zong 	总	c=1 d=0.0608101 t=1109
zong bu 	总部	c=1 d=0.126186 t=1109
zong du 	总督	c=0 d=0.00403566 t=1109
zu bie 	组别	c=1 d=0.0670477 t=1109
zu zhi 	组织	c=1 d=0.0515605 t=1109
zui di gong zi 	最低工资	c=0 d=0.0130029 t=1109
zui hou 	最后	c=1 d=0.0596059 t=1109
zui zhong 	最终	c=1 d=0.13332 t=1109
zuo 	做	c=1 d=0.0178634 t=1109
zuo fa 	做法	c=2 d=0.13341 t=1109
zuo tian 	昨天	c=1 d=1 t=1029
